Filename,C2 Value
2024.06.25_09:41:48,-36.68255468861495
2024.06.25_09:52:06,-47.83606852205767
2024.06.25_10:02:21,-37.235638374873226
2024.06.25_10:12:36,-26.42195690965169
2024.06.25_10:22:53,-26.812184288274448
2024.06.25_10:33:09,-27.30916035469861
2024.06.25_10:43:21,-27.76843920481062
2024.06.25_10:53:39,-27.617778064911324
2024.06.25_11:03:54,-27.710686105904053
2024.06.25_11:14:09,-27.71343302982737
2024.06.25_11:24:22,-27.696998710093293
2024.06.25_11:34:36,-27.61710626110713
2024.06.25_11:44:52,-27.585395934913457
2024.06.25_11:55:04,-27.67174826194013
2024.06.25_12:05:17,-27.301154217778823
2024.06.25_12:15:36,-27.536809687440982
2024.06.25_12:25:53,-27.56539203149328
2024.06.25_12:36:10,-27.495115701116728
2024.06.25_12:46:28,-27.44843006447192
2024.06.25_12:56:44,-27.32604267369557
2024.06.25_13:07:04,-27.32468376225442
2024.06.25_13:17:20,-27.29084173105576
2024.06.25_13:27:37,-27.170227252699554
2024.06.25_13:37:54,-27.064173407227138
2024.06.25_13:48:10,-27.032024032126607
2024.06.25_13:58:29,-27.00408839098245
2024.06.25_14:08:43,-26.97072488729302
2024.06.25_14:18:58,-26.945693614549725
2024.06.25_14:29:15,-27.120531871347943
2024.06.25_14:39:29,-27.14491078906992
2024.06.25_14:49:44,-26.79974510329497
2024.06.25_14:59:58,-26.72937233986272
2024.06.25_15:10:15,-26.69816584044649
2024.06.25_15:20:33,-26.3751900271972
2024.06.25_15:30:49,-26.57264356454696
2024.06.25_15:41:08,-26.844769517499877
2024.06.25_15:51:24,-26.80101086902873
2024.06.25_16:01:43,-26.749742440988115
2024.06.25_16:11:56,-26.666483042223103
2024.06.25_16:22:15,-26.593184317304186
2024.06.25_16:32:30,-26.593023136185785
2024.06.25_16:42:46,-26.456011015492457
2024.06.25_16:53:04,-26.492948990354108
2024.06.25_17:03:19,-26.561821911966632
2024.06.25_17:13:36,-26.67666690133072
2024.06.25_17:23:50,-26.6903208936407
2024.06.25_17:36:22,-26.552240680938255
2024.06.25_17:46:32,-26.56331278375416
2024.06.25_17:56:48,-26.420965123243214
2024.06.25_18:07:07,-26.41016356989887
2024.06.25_18:17:22,-26.760011390181067
2024.06.25_18:27:39,-26.94812782869671
2024.06.25_18:37:53,-26.995439831971403
