Frequency Range,2024_07_19___10-07-05.csv
From 1687.50 Hz to 3750.00 Hz,-21.619888009553584
From 6000.00 Hz to 6937.50 Hz,-30.43383649662115
From 9187.50 Hz to 10875.00 Hz,-31.269406498480013
From 13125.00 Hz to 14812.50 Hz,-35.80656293683915
From 17062.50 Hz to 18937.50 Hz,-32.39981503061309
From 21187.50 Hz to 22687.50 Hz,-44.6245702126971
From 24937.50 Hz to 26812.50 Hz,-46.4616970033613
From 29062.50 Hz to 30937.50 Hz,-35.958986191849995
From 33187.50 Hz to 34875.00 Hz,-41.717517844059884
From 37125.00 Hz to 38812.50 Hz,-40.79531499081611
From 41062.50 Hz to 41812.50 Hz,-44.87885365509389
From 44062.50 Hz to 45750.00 Hz,-40.47161226403223
