Time,A_x [g],A_y [g],A_z [g]
5.00056,0.046784,0.795328,0.46784
5.001298,0.0,0.748544,0.46784
5.002035,-0.046784,0.795328,0.46784
5.002773,0.0,0.842112,0.46784
5.00351,0.0,0.842112,0.46784
5.004248,0.0,0.842112,0.514624
5.004985,0.0,0.842112,0.46784
5.005723,0.0,0.795328,0.46784
5.00646,0.0,0.842112,0.46784
5.007198,0.046784,0.795328,0.421056
5.007935,0.0,0.842112,0.514624
5.008673,0.0,0.795328,0.46784
5.00941,0.0,0.748544,0.46784
5.010148,0.0,0.795328,0.46784
5.010885,0.0,0.795328,0.421056
5.011623,0.0,0.842112,0.46784
5.01236,0.0,0.842112,0.46784
5.013098,0.0,0.842112,0.514624
5.013835,0.0,0.842112,0.561408
5.014573,0.0,0.795328,0.514624
5.01531,0.0,0.795328,0.46784
5.016048,0.0,0.842112,0.46784
5.016785,0.046784,0.842112,0.46784
5.017523,0.0,0.842112,0.46784
5.01826,0.0,0.888896,0.46784
5.018998,0.0,0.842112,0.46784
5.019735,0.0,0.888896,0.46784
5.020473,0.0,0.795328,0.46784
5.02121,0.0,0.842112,0.46784
5.021948,0.0,0.888896,0.46784
5.022685,0.046784,0.842112,0.46784
5.023423,0.046784,0.888896,0.514624
5.02416,0.0,0.842112,0.561408
5.024898,0.0,0.842112,0.561408
5.025635,-0.046784,0.842112,0.514624
5.026373,0.0,0.795328,0.514624
5.02711,0.0,0.842112,0.46784
5.027848,0.0,0.842112,0.46784
5.028585,0.0,0.842112,0.46784
5.029323,0.0,0.842112,0.46784
5.03006,-0.046784,0.795328,0.46784
5.030798,-0.046784,0.795328,0.514624
5.031535,-0.046784,0.795328,0.46784
5.032273,0.0,0.795328,0.421056
5.03301,0.0,0.748544,0.46784
5.033748,0.046784,0.795328,0.46784
5.034485,-0.046784,0.795328,0.514624
5.035223,0.0,0.795328,0.514624
5.03596,0.0,0.795328,0.46784
5.036698,0.0,0.795328,0.514624
5.037435,0.0,0.748544,0.46784
5.038173,-0.046784,0.795328,0.46784
5.03891,0.0,0.795328,0.514624
5.039648,0.0,0.795328,0.514624
5.040385,0.0,0.795328,0.46784
5.041123,0.0,0.795328,0.514624
5.04186,0.046784,0.795328,0.514624
5.042598,0.046784,0.795328,0.46784
5.043335,0.0,0.795328,0.46784
5.044073,0.0,0.795328,0.514624
5.04481,0.0,0.748544,0.46784
5.045548,0.046784,0.795328,0.514624
5.046285,0.046784,0.795328,0.514624
5.047023,0.0,0.795328,0.46784
5.04776,0.046784,0.795328,0.514624
5.048498,0.046784,0.795328,0.514624
5.049235,0.046784,0.842112,0.514624
5.049973,0.046784,0.888896,0.46784
5.05071,0.0,0.842112,0.514624
5.051448,0.046784,0.842112,0.46784
5.052185,0.0,0.842112,0.514624
5.052923,0.0,0.795328,0.561408
5.05366,0.0,0.795328,0.561408
5.054398,0.0,0.795328,0.514624
5.055135,-0.046784,0.842112,0.514624
5.055873,-0.046784,0.842112,0.46784
5.05661,0.0,0.842112,0.46784
5.057348,0.0,0.795328,0.46784
5.058085,0.0,0.795328,0.46784
5.058823,0.046784,0.842112,0.46784
5.05956,0.046784,0.795328,0.46784
5.060298,0.0,0.795328,0.514624
5.061035,-0.046784,0.795328,0.421056
5.061773,0.0,0.795328,0.514624
5.06251,0.046784,0.795328,0.514624
5.063248,-0.046784,0.842112,0.46784
5.063985,0.0,0.795328,0.514624
5.064723,0.0,0.795328,0.514624
5.06546,0.0,0.795328,0.421056
5.066198,0.046784,0.842112,0.46784
5.066935,0.046784,0.842112,0.514624
5.067673,0.046784,0.842112,0.514624
5.06841,0.046784,0.842112,0.46784
5.069148,0.0,0.842112,0.46784
5.069885,0.046784,0.842112,0.561408
5.070623,0.0,0.842112,0.514624
5.07136,0.046784,0.795328,0.46784
5.072098,0.0,0.795328,0.46784
5.072835,0.046784,0.795328,0.514624
5.073573,0.0,0.842112,0.514624
5.07431,0.046784,0.795328,0.514624
5.075048,0.046784,0.795328,0.46784
5.075785,0.046784,0.795328,0.514624
5.076523,0.046784,0.795328,0.514624
5.07726,0.0,0.795328,0.514624
5.077998,0.046784,0.795328,0.561408
5.078735,-0.046784,0.842112,0.46784
5.079473,-0.046784,0.842112,0.46784
5.08021,0.0,0.842112,0.514624
5.080948,0.0,0.795328,0.46784
5.081685,0.0,0.842112,0.421056
5.082423,-0.046784,0.842112,0.46784
5.08316,0.0,0.842112,0.46784
5.083898,0.0,0.842112,0.46784
5.084635,0.0,0.795328,0.46784
5.085373,0.0,0.748544,0.46784
5.08611,0.0,0.842112,0.46784
5.086848,-0.046784,0.842112,0.46784
5.087585,0.0,0.842112,0.514624
5.088323,0.0,0.795328,0.514624
5.08906,0.046784,0.795328,0.514624
5.089798,0.046784,0.842112,0.46784
5.090535,0.0,0.842112,0.421056
5.091273,0.0,0.842112,0.46784
5.09201,0.046784,0.795328,0.46784
5.092748,0.0,0.795328,0.46784
5.093485,0.0,0.795328,0.46784
5.094223,0.0,0.748544,0.46784
5.09496,0.0,0.795328,0.46784
5.095698,0.0,0.795328,0.46784
5.096435,0.0,0.842112,0.46784
5.097173,0.0,0.795328,0.421056
5.09791,-0.046784,0.842112,0.421056
5.098648,0.0,0.795328,0.421056
5.099385,0.046784,0.795328,0.421056
5.100123,0.046784,0.748544,0.46784
5.10086,0.0,0.748544,0.421056
5.101598,0.0,0.795328,0.46784
5.102335,0.0,0.842112,0.46784
5.103073,0.0,0.795328,0.514624
