Time,M_x [gauss],M_y [gauss],M_z [gauss]
5.002997,0.342,0.0225,0.0525
5.012759,0.3795,0.036,0.0315
5.02252,0.3525,-0.006,-0.0135
5.032282,0.3225,0.0045,0.0345
5.042043,0.3675,0.03,0.054
5.051809,0.366,0.0045,-0.0105
5.061574,0.3375,-0.0075,0.006
5.071339,0.3495,0.0285,0.0555
5.081104,0.378,0.03,0.006
5.090869,0.3525,0.0015,-0.012
5.100634,0.336,0.0075,0.039
5.110399,0.3765,0.036,0.0405
5.120165,0.3645,0.003,-0.012
5.12993,0.3315,-0.003,0.0135
5.139695,0.366,0.0315,0.0495
5.14946,0.372,0.0195,0.009
5.159225,0.345,-0.0015,-0.003
5.16899,0.339,0.018,0.048
5.178755,0.3795,0.0285,0.0255
5.18852,0.354,0.0,-0.009
5.198286,0.3345,0.0,0.03
5.208051,0.357,0.0315,0.0555
5.217816,0.3705,0.006,0.0015
5.227581,0.336,-0.003,0.0045
5.237346,0.354,0.024,0.054
5.247111,0.3675,0.0195,0.0105
5.256876,0.3495,-0.0105,-0.0165
5.266642,0.3375,0.0165,0.0345
5.276407,0.369,0.0225,0.042
5.286172,0.3645,0.0015,-0.009
5.295937,0.333,-0.003,0.0195
5.305702,0.351,0.0285,0.0525
5.315467,0.3765,0.009,0.006
5.325232,0.3375,-0.009,-0.003
5.334997,0.3405,0.0075,0.048
5.344763,0.372,0.0255,0.0315
5.354528,0.3525,-0.0045,-0.0195
5.364293,0.3405,0.003,0.0225
5.374058,0.3525,0.0285,0.0435
5.383823,0.372,0.0105,-0.006
5.393588,0.33,-0.009,0.0045
5.403353,0.354,0.027,0.0495
5.413119,0.381,0.03,0.0165
5.422884,0.3435,-0.0015,-0.009
5.432649,0.3375,0.0075,0.039
5.442414,0.3705,0.027,0.0375
5.452179,0.3645,0.003,-0.0075
5.461944,0.3435,-0.0015,0.018
5.471709,0.3555,0.024,0.0435
5.481474,0.375,0.0135,0.0015
5.49124,0.3405,-0.0045,-0.0075
5.501005,0.3465,0.0225,0.0405
5.51077,0.3735,0.024,0.0435
5.520535,0.366,-0.009,-0.009
5.5303,0.3375,0.0015,0.027
5.540065,0.36,0.0315,0.0495
5.54983,0.375,0.0075,-0.003
5.559596,0.3315,-0.0075,-0.0015
5.569361,0.3465,0.024,0.045
5.579126,0.3705,0.021,0.0255
5.588891,0.3555,-0.009,-0.0075
5.598656,0.336,0.009,0.027
5.608421,0.3675,0.0315,0.0465
5.618186,0.3675,0.006,-0.0075
5.627951,0.333,-0.003,0.0135
5.637717,0.3585,0.0285,0.0525
5.647482,0.3735,0.012,0.0165
5.657247,0.3435,-0.0075,-0.0045
5.667012,0.3345,0.0105,0.039
5.676777,0.3735,0.03,0.036
5.686542,0.36,0.003,-0.003
5.696307,0.336,0.003,0.03
5.706073,0.357,0.03,0.054
5.715838,0.369,0.0105,0.003
5.725603,0.3405,-0.006,0.0
5.735368,0.345,0.0225,0.0495
