Time,M_x [gauss],M_y [gauss],M_z [gauss]
5.004645,0.3165,-0.0705,-0.1665
5.01441,0.3,-0.1065,-0.2115
5.024175,0.2655,-0.102,-0.1695
5.03394,0.2985,-0.075,-0.1365
5.043706,0.3075,-0.087,-0.2025
5.053475,0.2685,-0.1125,-0.189
5.063245,0.2805,-0.078,-0.1305
5.073014,0.3165,-0.0765,-0.1755
5.082784,0.2865,-0.111,-0.2055
5.092553,0.261,-0.084,-0.1515
5.102323,0.3135,-0.0675,-0.15
5.112093,0.294,-0.096,-0.2055
5.121862,0.27,-0.0975,-0.1785
5.131632,0.294,-0.0735,-0.1365
5.141401,0.312,-0.084,-0.1905
5.151171,0.276,-0.1065,-0.2085
5.160941,0.282,-0.078,-0.1455
5.17071,0.306,-0.0705,-0.168
5.18048,0.303,-0.1095,-0.2085
5.190249,0.273,-0.099,-0.153
5.200019,0.303,-0.0675,-0.1455
5.209789,0.306,-0.09,-0.201
5.219558,0.279,-0.1065,-0.183
5.229328,0.285,-0.072,-0.1425
5.239097,0.321,-0.0765,-0.1725
5.248867,0.2865,-0.1065,-0.1995
5.258636,0.27,-0.0825,-0.15
5.268406,0.3105,-0.0585,-0.1425
5.278176,0.2925,-0.102,-0.207
5.287945,0.2655,-0.105,-0.171
5.297715,0.294,-0.069,-0.132
5.307484,0.3045,-0.09,-0.1815
5.317254,0.27,-0.1005,-0.201
5.327024,0.2775,-0.078,-0.1395
5.336793,0.321,-0.0735,-0.1635
5.346563,0.291,-0.108,-0.201
5.356332,0.2685,-0.0975,-0.1635
5.366102,0.303,-0.0675,-0.144
5.375871,0.306,-0.0855,-0.204
5.385641,0.27,-0.102,-0.1875
5.395411,0.2895,-0.0705,-0.1395
5.40518,0.312,-0.0795,-0.171
5.41495,0.2835,-0.1065,-0.207
5.424719,0.273,-0.087,-0.1455
5.434489,0.3075,-0.0645,-0.1455
5.444259,0.2985,-0.0915,-0.2025
5.454028,0.27,-0.093,-0.1695
5.463798,0.306,-0.0705,-0.1395
5.473567,0.312,-0.081,-0.192
5.483337,0.2745,-0.102,-0.1965
5.493107,0.2715,-0.081,-0.135
5.502876,0.3105,-0.072,-0.168
5.512646,0.294,-0.1035,-0.1995
5.522415,0.2685,-0.093,-0.1635
5.532185,0.306,-0.0615,-0.144
5.541954,0.306,-0.093,-0.192
5.551724,0.2655,-0.102,-0.1935
5.561494,0.2955,-0.069,-0.1335
5.571263,0.3135,-0.0735,-0.1815
5.581033,0.291,-0.102,-0.195
5.590802,0.2595,-0.084,-0.15
5.600572,0.318,-0.078,-0.1455
5.610342,0.2955,-0.1005,-0.1995
5.620111,0.2775,-0.099,-0.1755
5.629881,0.297,-0.0675,-0.1425
5.63965,0.309,-0.0825,-0.186
5.64942,0.2745,-0.1065,-0.1815
5.659189,0.2805,-0.078,-0.1455
5.668959,0.315,-0.06,-0.1635
5.678729,0.288,-0.108,-0.1995
5.688498,0.27,-0.096,-0.1575
5.698268,0.3075,-0.066,-0.144
5.708037,0.3075,-0.087,-0.1875
5.717807,0.2775,-0.105,-0.1815
5.727577,0.2895,-0.069,-0.138
5.737346,0.3075,-0.072,-0.1755
5.747116,0.285,-0.1065,-0.2055
5.756885,0.279,-0.081,-0.1515
5.766655,0.309,-0.066,-0.15
5.776425,0.312,-0.1005,-0.2025
5.786194,0.27,-0.1095,-0.1665
5.795964,0.2925,-0.069,-0.132
5.805733,0.303,-0.084,-0.1815
5.815503,0.2745,-0.105,-0.1965
5.825272,0.2835,-0.0795,-0.1395
5.835042,0.3135,-0.072,-0.159
5.844812,0.2955,-0.1005,-0.2115
5.854581,0.27,-0.0915,-0.1605
5.864351,0.306,-0.069,-0.141
5.87412,0.306,-0.093,-0.1935
5.88389,0.2655,-0.108,-0.1845
5.89366,0.291,-0.075,-0.1335
5.903429,0.3105,-0.0765,-0.1665
5.913199,0.288,-0.105,-0.2055
5.922968,0.2655,-0.0915,-0.1515
5.932738,0.3165,-0.0705,-0.1605
5.942508,0.3045,-0.0915,-0.2055
5.952277,0.2685,-0.0975,-0.1815
5.962047,0.294,-0.0675,-0.138
5.971816,0.312,-0.0825,-0.1845
5.981586,0.2865,-0.114,-0.195
5.991355,0.2715,-0.0795,-0.1395
6.001125,0.3165,-0.072,-0.1695
6.010895,0.2835,-0.1005,-0.2025
6.020664,0.27,-0.093,-0.165
6.030431,0.2925,-0.0735,-0.1335
6.040197,0.3135,-0.0855,-0.195
6.049964,0.276,-0.111,-0.1875
6.059731,0.2865,-0.069,-0.1425
6.069497,0.318,-0.084,-0.1785
6.079264,0.2865,-0.108,-0.1965
6.08903,0.276,-0.09,-0.1575
6.098797,0.3105,-0.072,-0.15
6.108564,0.303,-0.0885,-0.198
6.11833,0.2715,-0.1005,-0.183
6.128097,0.2955,-0.0675,-0.1275
6.137863,0.3195,-0.0855,-0.192
6.14763,0.2745,-0.1035,-0.1965
6.157397,0.2715,-0.0885,-0.1485
6.167163,0.3135,-0.0735,-0.15
6.17693,0.2955,-0.0975,-0.213
6.186696,0.2715,-0.0915,-0.1635
6.196463,0.309,-0.063,-0.1425
6.20623,0.312,-0.0855,-0.192
6.215996,0.2805,-0.099,-0.1905
6.225763,0.276,-0.075,-0.1305
6.235529,0.309,-0.0825,-0.162
6.245296,0.294,-0.111,-0.2055
6.255063,0.27,-0.0945,-0.1485
6.264829,0.3135,-0.0675,-0.1425
6.274596,0.3105,-0.09,-0.195
6.284362,0.273,-0.1005,-0.1725
6.294129,0.2895,-0.069,-0.138
6.303896,0.306,-0.075,-0.1845
6.313662,0.279,-0.1035,-0.198
6.323429,0.282,-0.0915,-0.15
6.333195,0.3045,-0.0735,-0.156
6.342962,0.3,-0.096,-0.204
6.352728,0.2685,-0.1005,-0.1725
6.362495,0.303,-0.0645,-0.1365
6.372262,0.312,-0.0825,-0.207
6.382028,0.2805,-0.1035,-0.1905
6.391795,0.285,-0.072,-0.1455
6.401561,0.318,-0.078,-0.165
6.411328,0.2775,-0.1125,-0.2055
6.421095,0.279,-0.0855,-0.156
6.430861,0.3045,-0.0645,-0.153
6.440628,0.3135,-0.105,-0.1995
6.450394,0.2685,-0.1035,-0.1815
