Time,A_x [g],A_y [g],A_z [g]
5.000484,0.0,0.748544,0.46784
5.001224,0.0,0.748544,0.46784
5.001965,0.0,0.748544,0.46784
5.002705,0.0,0.70176,0.46784
5.003445,0.0,0.748544,0.46784
5.004185,0.046784,0.70176,0.46784
5.004925,0.0,0.748544,0.46784
5.005665,0.0,0.748544,0.514624
5.006405,0.0,0.748544,0.421056
5.007145,0.0,0.70176,0.46784
5.007885,0.0,0.70176,0.421056
5.008625,0.0,0.654976,0.46784
5.009365,0.0,0.70176,0.421056
5.010105,0.0,0.70176,0.421056
5.010845,0.046784,0.748544,0.514624
5.011585,0.046784,0.70176,0.421056
5.012325,0.0,0.748544,0.514624
5.013065,0.0,0.748544,0.46784
5.013805,0.0,0.748544,0.46784
5.014545,0.0,0.748544,0.561408
5.015285,0.046784,0.748544,0.514624
5.016025,0.0,0.795328,0.514624
5.016765,0.0,0.842112,0.514624
5.017505,0.0,0.842112,0.514624
5.018245,0.0,0.842112,0.514624
5.018985,0.0,0.888896,0.514624
5.019725,0.046784,0.888896,0.46784
5.020465,0.046784,0.888896,0.514624
5.021205,0.0,0.842112,0.514624
5.021945,0.0,0.842112,0.514624
5.022685,0.0,0.842112,0.514624
5.023425,0.0,0.888896,0.514624
5.024165,0.046784,0.888896,0.514624
5.024905,0.0,0.93568,0.514624
5.025645,0.046784,0.93568,0.514624
5.026385,0.0,0.888896,0.514624
5.027125,0.0,0.93568,0.514624
5.027865,0.0,0.93568,0.46784
5.028605,0.0,0.888896,0.514624
5.029345,0.046784,0.888896,0.46784
5.030085,0.0,0.888896,0.46784
5.030825,0.0,0.795328,0.514624
5.031565,0.0,0.842112,0.514624
5.032305,-0.046784,0.842112,0.514624
5.033045,0.0,0.888896,0.514624
5.033786,0.0,0.888896,0.46784
5.034526,0.046784,0.888896,0.46784
5.035266,0.0,0.842112,0.514624
5.036006,0.046784,0.795328,0.514624
5.036746,0.046784,0.795328,0.46784
5.037486,0.046784,0.842112,0.421056
5.038226,0.0,0.795328,0.514624
5.038966,0.046784,0.795328,0.421056
5.039706,0.046784,0.795328,0.46784
5.040446,0.046784,0.795328,0.421056
5.041186,0.0,0.795328,0.46784
5.041926,0.0,0.748544,0.514624
5.042666,0.0,0.748544,0.46784
5.043406,0.0,0.748544,0.46784
5.044146,0.0,0.748544,0.46784
5.044886,0.046784,0.748544,0.46784
5.045626,0.046784,0.748544,0.46784
5.046366,0.0,0.748544,0.421056
5.047106,0.0,0.748544,0.46784
5.047846,0.0,0.748544,0.46784
5.048586,0.0,0.748544,0.46784
5.049326,0.0,0.748544,0.46784
5.050066,0.0,0.748544,0.46784
5.050806,0.046784,0.748544,0.46784
5.051546,0.046784,0.795328,0.46784
5.052286,0.046784,0.748544,0.514624
5.053026,0.0,0.748544,0.421056
5.053766,0.0,0.795328,0.514624
5.054506,0.0,0.795328,0.46784
5.055246,0.0,0.795328,0.46784
5.055986,0.0,0.795328,0.46784
5.056726,0.0,0.842112,0.514624
5.057466,0.0,0.842112,0.514624
5.058206,0.0,0.842112,0.514624
5.058946,0.0,0.795328,0.46784
5.059686,0.0,0.842112,0.46784
5.060426,0.0,0.842112,0.514624
5.061166,0.0,0.888896,0.514624
5.061906,-0.046784,0.888896,0.46784
5.062646,-0.046784,0.888896,0.421056
5.063386,0.0,0.888896,0.46784
5.064126,0.0,0.842112,0.561408
5.064866,0.0,0.888896,0.514624
5.065606,0.0,0.888896,0.514624
5.066347,0.0,0.93568,0.514624
5.067087,0.0,0.93568,0.46784
5.067827,0.0,0.93568,0.514624
5.068567,0.0,0.93568,0.514624
5.069307,0.0,0.888896,0.46784
5.070047,-0.046784,0.888896,0.514624
5.070787,0.0,0.888896,0.514624
5.071527,0.0,0.888896,0.46784
5.072267,0.046784,0.888896,0.514624
5.073007,0.0,0.842112,0.514624
5.073747,0.0,0.842112,0.46784
5.074487,0.0,0.842112,0.46784
5.075227,0.046784,0.888896,0.46784
5.075967,0.046784,0.842112,0.46784
5.076707,0.0,0.795328,0.46784
5.077447,0.046784,0.795328,0.46784
5.078187,0.046784,0.795328,0.46784
5.078927,0.0,0.795328,0.514624
5.079667,0.0,0.795328,0.514624
5.080407,0.0,0.795328,0.514624
5.081147,0.0,0.748544,0.46784
5.081887,0.0,0.70176,0.514624
5.082627,0.0,0.748544,0.46784
5.083367,0.0,0.748544,0.46784
5.084107,0.046784,0.748544,0.514624
5.084847,0.0,0.70176,0.46784
5.085587,0.0,0.70176,0.46784
5.086327,0.046784,0.748544,0.46784
5.087067,0.0,0.748544,0.514624
5.087807,0.046784,0.748544,0.514624
5.088547,0.0,0.70176,0.46784
5.089287,0.0,0.70176,0.514624
5.090027,-0.046784,0.70176,0.46784
5.090767,0.0,0.70176,0.46784
5.091507,0.0,0.70176,0.514624
5.092247,0.046784,0.748544,0.421056
5.092987,0.0,0.748544,0.514624
5.093727,0.0,0.795328,0.514624
5.094467,0.0,0.748544,0.46784
5.095207,0.0,0.795328,0.514624
5.095947,0.046784,0.795328,0.514624
5.096687,0.0,0.795328,0.514624
5.097427,0.0,0.795328,0.46784
5.098167,0.0,0.795328,0.46784
5.098908,0.0,0.842112,0.514624
5.099648,0.0,0.842112,0.46784
5.100388,0.046784,0.842112,0.46784
5.101128,0.0,0.842112,0.514624
5.101868,0.0,0.888896,0.514624
5.102608,-0.046784,0.888896,0.514624
5.103348,-0.046784,0.888896,0.514624
5.104088,0.0,0.888896,0.561408
5.104828,0.0,0.888896,0.514624
5.105568,0.0,0.93568,0.46784
5.106308,0.0,0.93568,0.514624
5.107048,0.0,0.93568,0.46784
5.107788,0.046784,0.888896,0.514624
5.108528,0.0,0.93568,0.561408
5.109268,0.0,0.888896,0.46784
5.110008,0.0,0.888896,0.514624
5.110748,0.0,0.888896,0.46784
5.111488,0.0,0.888896,0.514624
5.112228,0.0,0.842112,0.514624
5.112968,0.0,0.888896,0.514624
5.113708,0.0,0.888896,0.46784
5.114448,0.0,0.888896,0.46784
5.115188,0.0,0.842112,0.46784
5.115928,0.0,0.795328,0.514624
5.116668,0.0,0.748544,0.514624
5.117408,0.0,0.795328,0.46784
5.118148,0.046784,0.748544,0.514624
5.118888,0.0,0.748544,0.514624
5.119628,0.0,0.795328,0.46784
5.120368,0.0,0.748544,0.514624
5.121108,-0.046784,0.748544,0.46784
5.121848,-0.046784,0.748544,0.46784
5.122588,-0.046784,0.748544,0.514624
5.123328,0.0,0.795328,0.46784
5.124068,-0.046784,0.748544,0.46784
5.124808,-0.046784,0.748544,0.46784
5.125548,0.0,0.748544,0.46784
5.126288,0.0,0.748544,0.46784
5.127028,0.0,0.748544,0.46784
5.127768,0.0,0.795328,0.421056
5.128508,0.0,0.748544,0.421056
5.129248,0.0,0.748544,0.46784
5.129988,0.0,0.748544,0.421056
5.130729,0.0,0.70176,0.514624
5.131469,0.0,0.70176,0.46784
5.132209,0.0,0.70176,0.46784
5.132949,0.0,0.70176,0.514624
5.133689,0.046784,0.748544,0.514624
5.134429,0.0,0.795328,0.514624
5.135169,0.046784,0.795328,0.514624
5.135909,0.046784,0.795328,0.514624
5.136649,0.0,0.842112,0.514624
5.137389,-0.046784,0.795328,0.514624
5.138129,0.0,0.842112,0.514624
5.138869,-0.046784,0.842112,0.46784
5.139609,0.0,0.795328,0.561408
5.140349,0.0,0.842112,0.514624
5.141089,0.0,0.888896,0.514624
5.141829,0.0,0.888896,0.421056
5.142569,0.0,0.888896,0.46784
5.143309,0.0,0.888896,0.514624
5.144049,0.046784,0.888896,0.514624
5.144789,0.0,0.888896,0.561408
5.145529,0.0,0.888896,0.561408
5.146269,0.0,0.888896,0.561408
5.147009,0.0,0.888896,0.514624
5.147749,0.0,0.888896,0.514624
5.148489,-0.046784,0.842112,0.514624
5.149229,0.0,0.888896,0.514624
5.149969,0.0,0.93568,0.514624
5.150709,-0.046784,0.888896,0.514624
5.151449,-0.046784,0.888896,0.514624
5.152189,-0.046784,0.888896,0.46784
5.152929,0.0,0.842112,0.514624
5.153669,0.0,0.842112,0.46784
5.154409,0.046784,0.842112,0.561408
5.155149,0.0,0.888896,0.421056
5.155889,0.0,0.842112,0.514624
5.156629,0.0,0.842112,0.561408
5.157369,0.0,0.842112,0.46784
5.158109,0.0,0.795328,0.46784
5.158849,0.0,0.842112,0.421056
5.159589,-0.046784,0.842112,0.46784
5.160329,0.0,0.795328,0.46784
5.161069,0.0,0.795328,0.46784
5.161809,0.0,0.795328,0.514624
5.162549,0.0,0.748544,0.421056
5.16329,0.046784,0.748544,0.421056
5.16403,0.0,0.748544,0.421056
5.16477,0.0,0.748544,0.46784
5.16551,0.0,0.748544,0.514624
5.16625,0.046784,0.70176,0.46784
5.16699,0.0,0.654976,0.46784
5.16773,0.0,0.70176,0.514624
5.16847,0.046784,0.70176,0.46784
5.16921,0.046784,0.748544,0.514624
5.16995,0.0,0.748544,0.46784
5.17069,0.0,0.748544,0.46784
5.17143,0.0,0.70176,0.46784
5.17217,0.0,0.70176,0.46784
5.17291,0.046784,0.748544,0.514624
5.17365,0.0,0.70176,0.514624
5.17439,0.0,0.70176,0.46784
5.17513,0.0,0.795328,0.46784
5.17587,0.046784,0.795328,0.514624
5.17661,0.0,0.795328,0.46784
5.17735,0.046784,0.795328,0.421056
5.17809,0.0,0.795328,0.46784
5.17883,0.0,0.795328,0.46784
5.17957,0.0,0.795328,0.514624
5.18031,0.0,0.842112,0.46784
5.18105,0.0,0.842112,0.46784
5.18179,0.0,0.842112,0.514624
5.18253,0.0,0.842112,0.514624
5.18327,0.0,0.888896,0.514624
5.18401,0.0,0.93568,0.46784
5.18475,-0.046784,0.888896,0.561408
5.18549,0.0,0.888896,0.514624
5.18623,0.046784,0.93568,0.46784
5.18697,0.0,0.93568,0.514624
5.18771,0.0,0.93568,0.46784
5.18845,0.0,0.93568,0.421056
5.18919,0.0,0.888896,0.514624
5.18993,0.0,0.93568,0.421056
5.19067,-0.046784,0.888896,0.514624
5.19141,0.0,0.888896,0.514624
5.19215,0.0,0.93568,0.514624
5.19289,0.0,0.888896,0.561408
5.19363,0.046784,0.842112,0.561408
5.19437,0.046784,0.842112,0.561408
5.19511,0.0,0.795328,0.46784
5.195851,0.0,0.842112,0.46784
5.196591,0.0,0.842112,0.46784
5.197331,0.0,0.842112,0.46784
5.198071,0.046784,0.842112,0.514624
5.198811,0.0,0.795328,0.514624
5.199551,0.046784,0.748544,0.514624
5.200291,0.0,0.748544,0.514624
5.201031,0.0,0.795328,0.46784
5.201771,0.0,0.748544,0.514624
5.202511,0.046784,0.795328,0.514624
5.203251,0.046784,0.748544,0.514624
5.203991,0.0,0.795328,0.514624
5.204731,0.0,0.748544,0.514624
5.205471,0.0,0.70176,0.46784
5.206211,0.0,0.70176,0.46784
5.206951,0.0,0.748544,0.514624
5.207691,0.0,0.70176,0.514624
5.208431,0.0,0.748544,0.46784
5.209171,0.0,0.748544,0.46784
5.209911,0.0,0.748544,0.46784
5.210651,-0.046784,0.70176,0.514624
5.211391,0.0,0.748544,0.514624
5.212131,0.0,0.748544,0.514624
5.212871,-0.046784,0.748544,0.46784
5.213611,0.046784,0.748544,0.421056
5.214351,0.046784,0.748544,0.46784
5.215091,0.0,0.748544,0.421056
5.215831,0.046784,0.795328,0.421056
5.216571,0.0,0.795328,0.46784
5.217311,0.046784,0.795328,0.46784
5.218051,0.046784,0.748544,0.514624
5.218791,0.0,0.795328,0.514624
5.219531,0.0,0.795328,0.46784
5.220271,0.0,0.795328,0.514624
5.221011,0.046784,0.795328,0.46784
5.221751,0.0,0.842112,0.514624
5.222491,0.0,0.842112,0.514624
5.223231,0.0,0.888896,0.46784
5.223971,-0.046784,0.842112,0.561408
5.224711,0.0,0.888896,0.514624
5.225451,0.0,0.888896,0.514624
5.226191,0.0,0.888896,0.514624
5.226931,0.0,0.842112,0.514624
5.227672,0.046784,0.888896,0.514624
5.228412,0.0,0.93568,0.46784
5.229152,0.0,0.888896,0.46784
5.229892,0.0,0.93568,0.514624
5.230632,0.0,0.888896,0.514624
5.231372,0.0,0.93568,0.514624
5.232112,-0.046784,0.93568,0.514624
5.232852,-0.046784,0.888896,0.561408
5.233592,-0.046784,0.888896,0.514624
5.234332,-0.046784,0.888896,0.514624
5.235072,-0.046784,0.888896,0.514624
5.235812,0.0,0.842112,0.46784
5.236552,0.0,0.842112,0.46784
5.237292,0.0,0.842112,0.46784
5.238032,0.0,0.842112,0.514624
5.238772,0.0,0.842112,0.46784
5.239512,0.0,0.842112,0.46784
5.240252,0.0,0.795328,0.514624
5.240992,0.0,0.795328,0.421056
5.241732,-0.046784,0.795328,0.514624
5.242472,0.0,0.795328,0.46784
5.243212,0.0,0.748544,0.46784
5.243952,0.0,0.70176,0.46784
5.244692,0.046784,0.748544,0.46784
5.245432,0.046784,0.795328,0.46784
5.246172,0.0,0.748544,0.421056
5.246912,0.0,0.748544,0.514624
5.247652,0.0,0.748544,0.46784
5.248392,0.0,0.795328,0.46784
5.249132,0.0,0.748544,0.514624
5.249872,0.0,0.748544,0.46784
5.250612,0.0,0.70176,0.46784
5.251352,0.0,0.748544,0.421056
5.252092,0.0,0.748544,0.46784
5.252832,0.0,0.70176,0.514624
5.253572,0.0,0.748544,0.514624
5.254312,0.0,0.748544,0.514624
5.255052,0.046784,0.70176,0.561408
5.255792,0.046784,0.70176,0.46784
5.256532,0.0,0.748544,0.421056
5.257272,0.0,0.795328,0.46784
5.258012,0.0,0.795328,0.514624
5.258752,0.0,0.795328,0.46784
5.259492,0.0,0.842112,0.46784
5.260233,0.0,0.842112,0.514624
5.260973,0.0,0.842112,0.514624
5.261713,0.046784,0.842112,0.514624
5.262453,0.046784,0.888896,0.514624
5.263193,0.0,0.842112,0.46784
5.263933,0.0,0.93568,0.46784
5.264673,-0.046784,0.888896,0.46784
5.265413,-0.046784,0.888896,0.514624
5.266153,0.0,0.888896,0.514624
5.266893,0.0,0.888896,0.514624
5.267633,0.0,0.842112,0.46784
5.268373,-0.046784,0.888896,0.46784
5.269113,-0.046784,0.93568,0.514624
5.269853,0.0,0.888896,0.514624
5.270593,0.0,0.888896,0.514624
5.271333,0.0,0.888896,0.46784
5.272073,0.0,0.888896,0.46784
5.272813,0.0,0.888896,0.46784
5.273553,0.0,0.888896,0.514624
5.274293,0.0,0.888896,0.46784
5.275033,0.0,0.888896,0.514624
5.275773,0.0,0.888896,0.46784
5.276513,0.0,0.888896,0.46784
5.277253,-0.046784,0.888896,0.514624
5.277993,0.0,0.888896,0.46784
5.278733,-0.046784,0.842112,0.514624
5.279473,0.0,0.842112,0.514624
5.280213,0.0,0.888896,0.46784
5.280953,0.0,0.795328,0.514624
5.281693,0.0,0.795328,0.46784
5.282433,0.0,0.795328,0.46784
5.283173,0.0,0.748544,0.421056
5.283913,0.0,0.748544,0.421056
5.284653,0.046784,0.748544,0.514624
5.285393,0.0,0.795328,0.46784
5.286133,0.0,0.748544,0.46784
5.286873,0.046784,0.748544,0.514624
5.287613,0.046784,0.748544,0.46784
5.288353,0.046784,0.748544,0.46784
5.289093,0.046784,0.748544,0.421056
5.289833,0.0,0.748544,0.421056
5.290573,0.0,0.748544,0.421056
5.291313,0.0,0.748544,0.421056
5.292053,0.0,0.748544,0.421056
5.292794,0.0,0.748544,0.46784
5.293534,0.0,0.748544,0.46784
5.294274,0.0,0.748544,0.46784
